                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.2799,                 1.9669,                 1.6573,                0.37308,                0.31694,                0.26005,                0.09704,                 2.4768,                 2.2979,                 1.9663,              0.0041324,              0.0041324,              0.0041324
                     58,                 2.1891,                 1.8717,                 1.5878,                0.54129,                0.27322,                0.27533,                0.09599,                 2.6679,                 2.3173,                 2.0805,              0.0041026,              0.0041026,              0.0041026
                     59,                 2.1928,                 1.9283,                 1.6397,                0.46683,                0.32057,                0.33704,                0.11811,                 2.4634,                 2.1096,                 2.0111,              0.0040725,              0.0040725,              0.0040725
                     60,                 2.2313,                 1.9342,                 1.6625,                0.49021,                0.30055,                0.30574,                0.10935,                 2.5009,                 2.0772,                 1.9965,              0.0040419,              0.0040419,              0.0040419
                     61,                  2.164,                 1.8191,                 1.5989,                0.32645,                0.27869,                0.25046,                0.09331,                  2.682,                 2.2581,                 2.1714,               0.004011,               0.004011,               0.004011
                     62,                 2.1907,                 1.8454,                 1.6279,                0.46433,                 0.3224,                0.32146,                0.11627,                 2.5668,                 2.1772,                 2.0645,              0.0039798,              0.0039798,              0.0039798
                     63,                 2.1776,                 1.8662,                  1.621,                0.40277,                0.27641,                0.19391,                0.06772,                 2.6665,                 2.4999,                 2.0788,              0.0039481,              0.0039481,              0.0039481
                     64,                 2.1918,                 1.8874,                 1.6354,                0.43079,                0.19126,                0.19512,                0.06864,                 2.8831,                 2.6958,                 2.1749,              0.0039162,              0.0039162,              0.0039162
                     65,                 2.1382,                 1.8506,                 1.6158,                0.50025,                0.21858,                 0.2394,                0.08162,                 2.7631,                 2.6568,                 2.0823,              0.0038838,              0.0038838,              0.0038838
                     66,                 2.1237,                 1.8149,                 1.6133,                0.62903,                0.23497,                0.26435,                0.09659,                 2.6934,                 2.6267,                 2.0728,              0.0038512,              0.0038512,              0.0038512
                     67,                 2.1395,                 1.7932,                 1.6185,                 0.5322,                0.31694,                0.33184,                0.12615,                 2.6432,                 2.1492,                 2.0411,              0.0038182,              0.0038182,              0.0038182
                     68,                 2.1118,                 1.7378,                 1.5786,                0.53877,                0.34469,                 0.3246,                0.11587,                 2.5036,                   2.07,                 1.9707,              0.0037849,              0.0037849,              0.0037849
                     69,                 2.1214,                 1.7642,                 1.5649,                0.41903,                0.33333,                0.27994,                0.09607,                 2.5532,                 2.1914,                 1.9824,              0.0037513,              0.0037513,              0.0037513
                     70,                 2.0929,                 1.7231,                 1.5607,                0.48183,                0.25916,                0.22823,                0.08405,                 2.6264,                 2.4029,                 2.0146,              0.0037173,              0.0037173,              0.0037173
                     71,                 2.1013,                 1.7033,                 1.5549,                0.33058,                0.29508,                0.21416,                0.08279,                 2.4792,                 2.2983,                 1.9939,              0.0036831,              0.0036831,              0.0036831
                     72,                 2.0713,                 1.7056,                 1.5518,                0.51439,                 0.3531,                0.34405,                0.12272,                 2.4603,                 2.0488,                 1.9374,              0.0036486,              0.0036486,              0.0036486
                     73,                 2.0468,                 1.6934,                 1.5548,                0.55388,                0.36066,                0.37899,                0.13851,                 2.4532,                 2.0514,                 1.9277,              0.0036138,              0.0036138,              0.0036138
