epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
55,3672.02,1.41903,0.94719,1.05004,0.0134,0.77153,0.59508,0.63407,0.27026,1.93226,1.28508,1.33263,0,0.00416175,0.00416175,0.00416175,0.000416175
56,3735.48,1.40693,0.9427,1.04875,0.01334,0.76049,0.59979,0.63199,0.26801,1.99668,1.27125,1.36094,0,0.00413238,0.00413238,0.00413238,0.000413238
57,3797.73,1.40582,0.93831,1.04847,0.01327,0.75746,0.59979,0.62426,0.26854,1.99448,1.28184,1.36352,0,0.00410262,0.00410262,0.00410262,0.000410262
58,3861.07,1.41499,0.9238,1.04782,0.01316,0.79286,0.58174,0.63772,0.27623,1.95835,1.26282,1.34459,0,0.00407248,0.00407248,0.00407248,0.000407248
59,3924.6,1.39574,0.91924,1.04685,0.01314,0.77706,0.62102,0.65843,0.28445,1.93497,1.22716,1.33405,0,0.00404194,0.00404194,0.00404194,0.000404194
60,3988.68,1.40156,0.9282,1.05068,0.01301,0.80587,0.61697,0.66505,0.28951,1.94676,1.2232,1.32749,0,0.00401104,0.00401104,0.00401104,0.000401104
61,4055.56,1.39396,0.91389,1.04551,0.01293,0.76265,0.62423,0.64768,0.28071,1.9519,1.27381,1.335,0,0.00397977,0.00397977,0.00397977,0.000397977
62,4121.44,1.40271,0.91999,1.0478,0.01286,0.78812,0.59554,0.63115,0.27305,2.00595,1.29701,1.36954,0,0.00394814,0.00394814,0.00394814,0.000394814
63,4184.03,1.38226,0.91427,1.04175,0.01277,0.74968,0.61571,0.64704,0.2736,1.96801,1.27451,1.34973,0,0.00391616,0.00391616,0.00391616,0.000391616
64,4245.67,1.38778,0.9123,1.0431,0.01269,0.75484,0.60722,0.63009,0.28001,1.93747,1.23042,1.33673,0,0.00388383,0.00388383,0.00388383,0.000388383
65,4309.58,1.40053,0.90352,1.04622,0.01261,0.78943,0.59766,0.63755,0.27824,1.9688,1.27906,1.35681,0,0.00385117,0.00385117,0.00385117,0.000385117
66,4375.85,1.38045,0.8997,1.03805,0.0125,0.7967,0.57825,0.6363,0.27916,1.96053,1.29237,1.34638,0,0.00381818,0.00381818,0.00381818,0.000381818
67,4440.82,1.38407,0.89285,1.04352,0.01245,0.78701,0.62633,0.66147,0.28599,1.97476,1.21376,1.35217,0,0.00378488,0.00378488,0.00378488,0.000378488
68,4505.97,1.37443,0.88919,1.03615,0.01234,0.81516,0.60616,0.65994,0.28862,1.94115,1.22675,1.3387,0,0.00375126,0.00375126,0.00375126,0.000375126
69,4569.46,1.37395,0.88317,1.04124,0.01226,0.79448,0.61465,0.65189,0.28701,1.93128,1.23218,1.32668,0,0.00371734,0.00371734,0.00371734,0.000371734
70,4632.58,1.36677,0.87955,1.03409,0.01217,0.7813,0.6051,0.64733,0.28476,1.98223,1.27953,1.35461,0,0.00368313,0.00368313,0.00368313,0.000368313
71,4696.12,1.3636,0.88085,1.03153,0.01209,0.77526,0.60423,0.65597,0.29113,1.95378,1.23366,1.34334,0,0.00364863,0.00364863,0.00364863,0.000364863
72,4763.17,1.35754,0.86831,1.02744,0.01203,0.7879,0.60828,0.66293,0.29271,1.95715,1.22289,1.34082,0,0.00361385,0.00361385,0.00361385,0.000361385
73,4826.54,1.34398,0.86061,1.03369,0.0119,0.7884,0.63283,0.666,0.29815,1.92368,1.19463,1.32939,0,0.0035788,0.0035788,0.0035788,0.00035788
74,4890.23,1.35399,0.86756,1.02416,0.01182,0.79508,0.60958,0.65459,0.28468,1.97166,1.23605,1.36129,0,0.0035435,0.0035435,0.0035435,0.00035435
